Year,Mo,Dy,tave,tmax,tmin,vp,rhmax,rhmin,pp,gust
2000,1,1,3.477,11.857999999999999,-4.905,0.331,0.614,0.233,0.0,8.252
2000,1,2,0.363,6.415,-5.69,0.396,0.872,0.392,0.0,8.742
2000,1,3,-4.448,1.153,-10.049,0.185,0.573,0.27399999999999997,0.0,10.741
2000,1,4,-2.465,6.562,-11.493,0.245,0.71,0.254,0.0,4.1160000000000005
2000,1,5,1.558,6.723,-3.608,0.228,0.54,0.132,0.0,15.974
2000,1,6,-3.0410000000000004,4.76,-10.842,0.195,0.649,0.152,0.0,6.468
2000,1,7,-3.142,3.9539999999999997,-10.238,0.249,0.7090000000000001,0.321,0.0,7.115
2000,1,8,-0.511,8.015,-9.036,0.295,0.785,0.22,0.0,13.387
2000,1,9,3.529,7.33,-0.271,0.21899999999999997,0.41200000000000003,0.14800000000000002,0.0,14.7
2000,1,10,1.094,6.861000000000001,-4.6739999999999995,0.373,0.835,0.295,0.0,14.640999999999998
2000,1,11,4.332,16.778,-8.113999999999999,0.435,0.909,0.139,0.0,13.132
2000,1,12,4.646,11.043,-1.7519999999999998,0.452,0.8170000000000001,0.248,0.0,14.367
2000,1,13,0.204,6.281000000000001,-5.872000000000001,0.365,0.826,0.35200000000000004,0.0,3.842
2000,1,14,4.434,14.92,-6.053,0.40399999999999997,0.802,0.165,0.0,5.566
2000,1,15,4.573,14.050999999999998,-4.905,0.332,0.6559999999999999,0.132,0.0,4.018
2000,1,16,0.9309999999999999,4.155,-2.292,0.332,0.69,0.32799999999999996,0.0,6.507000000000001
2000,1,17,6.144,15.220999999999998,-2.9339999999999997,0.517,0.7979999999999999,0.298,0.0,5.586
2000,1,18,2.595,8.142999999999999,-2.9539999999999997,0.547,0.9520000000000001,0.535,0.0,6.546
2000,1,19,4.6739999999999995,13.110999999999999,-3.763,0.53,0.987,0.258,0.0,13.308
2000,1,20,1.554,10.489,-7.38,0.419,0.9259999999999999,0.302,0.0,5.037
2000,1,21,3.261,9.668,-3.1460000000000004,0.461,0.885,0.31,0.0,9.565
2000,1,22,1.915,8.254,-4.4239999999999995,0.386,0.9309999999999999,0.17300000000000001,0.0,14.034
2000,1,23,0.995,7.327000000000001,-5.337999999999999,0.281,0.6559999999999999,0.204,0.0,10.505999999999998
2000,1,24,2.456,11.83,-6.917999999999999,0.344,0.682,0.264,0.0,15.17
2000,1,25,-2.34,0.516,-5.196000000000001,0.33799999999999997,0.753,0.563,0.0,3.5869999999999997
2000,1,26,0.28800000000000003,7.3389999999999995,-6.7620000000000005,0.444,0.96,0.466,0.0,5.782
2000,1,27,-2.859,1.68,-7.399,0.423,1.0090000000000001,0.7020000000000001,0.0,5.978
2000,1,28,-5.502000000000001,0.63,-11.635,0.263,0.9209999999999999,0.379,0.0,6.899
2000,1,29,-3.36,0.9420000000000001,-7.662000000000001,0.33799999999999997,0.9470000000000001,0.474,0.0,5.507999999999999
2000,1,30,-3.8169999999999997,3.6830000000000003,-11.317,0.267,0.888,0.276,0.0,5.037
2000,1,31,-2.113,7.439,-11.665,0.267,0.867,0.155,0.0,5.645
2000,2,1,-0.22,9.585,-10.025,0.299,0.8370000000000001,0.162,0.0,7.017
2000,2,2,8.59,20.8,-3.62,0.36700000000000005,0.606,0.054000000000000006,0.0,17.405
2000,2,3,6.601,16.12,-2.918,0.42,0.799,0.065,0.0,14.935
2000,2,4,-3.111,3.73,-9.951,0.292,0.8809999999999999,0.325,0.0,7.291
2000,2,5,2.356,12.087,-7.375,0.34600000000000003,0.7609999999999999,0.198,0.0,4.998
2000,2,6,5.51,15.639000000000001,-4.618,0.381,0.6890000000000001,0.156,0.0,10.447000000000001
